x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
12,36,345372626,345434738,343461885,26567125.076923076
13,8,703559805,594318571,475416413,14657495.9375
13,9,837521086,1883356760,938222519,9305789.844444444
13,10,429793278,1347729008,658751112,13024038.727272727
13,11,1121642627,837432895,1995777066,15364967.493150685
13,12,2039611465,1250603994,2273641151,26488460.584415585
13,13,693666443,1036013337,313412954,21020195.242424242
13,16,13232310,502362,548009,13232310
13,19,2688094401,1413077193,2902196067,22780461.025423728
13,20,1081669810,752930601,1333021570,17732291.967213117
13,21,686091885,718404578,690184101,19058107.916666668
13,22,1252664370,1642897475,1653539773,14074880.561797753
13,23,3146870147,3200375276,2734194115,18295756.66860465
13,24,282604450,701194312,681223229,6280098.888888889
13,25,632451264,403353449,619772495,13456409.872340426
13,26,243752264,236749022,789287984,5668657.302325581
13,27,946525209,1728777047,491954778,16319400.155172413
13,28,597209108,875123873,574403704,13271313.51111111
13,29,687954132,1390411403,1217936123,10583909.723076923
13,30,1110422990,728410820,412613548,24676066.444444444
13,31,1299029527,1916429868,1149609233,14761699.170454545
13,32,1226103503,2304157735,1436371492,13327211.989130436
13,33,1186616451,696852550,1374218436,30426062.846153848
13,34,454968485,1219963024,787398441,21665165.95238095
13,35,800621920,994359727,1268610147,21638430.27027027
13,36,969154985,348840570,656844277,37275191.73076923
14,8,148024,4,56,148024
14,9,1058872638,1363720396,590491194,14913699.126760563
14,10,1256116407,1362550012,1024216885,20935273.45
14,11,1548999670,1652184036,1125859108,27175432.807017542
14,12,1330645749,190016794,1541211470,29569905.533333335
14,13,443328342,457671404,444239398,34102180.15384615
14,19,425597299,24658883,425552742,30399807.07142857
14,20,879394113,652046823,661672495,16592341.754716981
14,21,2445802379,1101886937,2012637227,30572529.7375
14,22,815965933,650228488,972109026,15110480.24074074
14,23,1274843030,2151690744,2080735291,11281796.725663716
14,24,777238585,856004826,644831424,19430964.625
14,25,475086972,456913865,555982617,13573913.485714287
14,26,608434611,1192964218,819432427,15600887.461538462
14,27,609392854,1021162563,607463795,14171926.837209303
14,28,895385710,1042307428,765415139,17556582.54901961
14,29,820570064,1393642272,1059406001,15780193.538461538
14,30,975196393,1613063942,1008598624,13735160.464788733
14,31,3946850734,5676488928,3305966509,16939273.536480688
14,32,2432755051,3553118457,2478032188,21916712.17117117
14,33,1519023618,2005064846,2008023544,25746163.01694915
14,34,2216093142,2018489335,1953135301,31212579.46478873
14,35,1836222094,2135144422,2277235853,22392952.36585366
14,36,556691079,664265308,123174683,25304139.954545453
15,9,816018091,1311261087,589702332,12750282.671875
15,10,1789947029,293786298,2013387868,24519822.315068495
15,11,1331468648,1528249657,1781839613,20173767.393939395
15,12,434293410,925460416,221390967,8042470.555555556
15,13,1393443369,1770282957,1392988318,21437590.292307694
15,14,0,132132323,12,0
15,15,2132132,32311,66893,2132132
15,20,97507,4,2,97507
15,21,1012230714,1625924471,1219108124,17156452.77966102
15,22,754406739,608653880,578471685,17544342.76744186
15,23,1175877304,1531818851,912984340,16561652.169014085
15,24,1304125772,637664872,945728434,21379111.01639344
15,25,579441703,288285461,466733798,15660586.567567568
15,26,766905543,545350177,325912845,22556045.38235294
15,27,516910718,711113560,580035162,14358631.055555556
15,28,485994566,1047738430,212762715,16199818.866666667
15,29,355111730,562159511,413577575,13152286.296296297
15,30,1268034435,1878250044,1102740388,15850430.4375
15,31,1630068579,3454495642,2039464089,12256154.729323309
15,32,1434931453,1291151943,1188687091,18396557.089743588
15,33,1067900862,1105219835,1153378210,25426211
15,34,977442923,1774340069,2007201617,15514967.031746032
15,35,2127945190,2323040836,1067866211,31760375.970149253
16,8,4,3,120023001,4
16,9,1596185,23681521,121955828,177353.88888888888
16,10,1005158634,1323626108,1004506504,20103172.68
16,11,217283771,447769458,2461034,13580235.6875
16,12,1265843121,2247501380,1704456760,14064923.566666666
16,13,1613499009,960304180,1159528243,20954532.584415585
16,14,8,2,1,8
16,22,213819119,315668839,5872855,15272794.214285715
16,23,436338538,156021727,431176927,18971240.782608695
16,24,1103878688,620314901,1013383418,24530637.51111111
16,25,649198670,683752729,795673530,16646119.743589744
16,26,436853310,455695527,218097485,15601903.92857143
16,27,713885,356549700,836837165,23796.166666666668
16,28,672588953,486719994,858188206,19216827.22857143
16,29,249125845,507625575,988949856,5190121.770833333
16,30,678130816,1669750166,1106975900,10763981.206349207
16,31,1544098933,1940322234,1431777382,16603214.333333334
16,32,1271077973,2531205210,944312339,16947706.30666667
16,33,1016003063,1735572235,1061805254,16933384.383333333
16,34,1724106310,2060286373,1337541614,28735105.166666668
16,35,164468633,566795969,164648758,8223431.65
17,16,1,1,0,1
17,23,218700436,246665661,5711072,16823110.46153846
17,24,219041397,759923839,427544594,7301379.9
17,25,1292783193,1021625331,988598733,18735988.304347824
17,26,744973023,548513561,671857134,17737452.92857143
17,27,1415895888,1059049402,1081621491,22474537.904761903
17,28,1386659899,568191288,979712468,42019996.93939394
17,29,639006450,570545224,499511811,18257327.14285714
17,30,948395274,1492220974,520264742,24957770.36842105
17,31,783230974,1451112503,1274009516,15357470.078431373
17,32,799988973,1032548407,901716601,13559135.13559322
17,33,1442813337,2151814888,1328131477,20321314.605633803
17,34,627956287,768895171,486516253,13082422.645833334
18,0,1231411207,1235163833,1471554494,15392640.0875
18,1,544120363,262753984,544464026,32007080.17647059
18,2,1005748885,797549246,818835234,20953101.770833332
18,3,2009101508,1383465921,1776501739,20928140.708333332
18,4,618954230,879201393,530398686,16728492.702702703
18,5,21598747,312444651,23429353,1439916.4666666666
18,20,5,0,213103333,5
18,24,435974310,401420910,963219607,18165596.25
18,25,1510787820,833780188,1182576205,27977552.222222224
18,26,440516089,167761106,314911203,18354837.041666668
18,27,1172153316,703040263,1293827768,23921496.244897958
18,28,1506102681,970166481,1504059503,28417031.71698113
18,29,469399919,899733715,447212820,12035895.358974358
18,30,388061991,953936263,755961344,12126937.21875
18,31,130185975,797631212,2690014,10014305.76923077
18,32,1618833323,2452608562,1347251708,19985596.580246914
18,33,78902472,114519794,34820702,3586476
18,34,437603,342685,130011044,109400.75
19,0,262369072,456214665,596081938,9717373.037037037
